Year	Name	Chief developer, company	Predecessor(s)
1990	AMOS BASIC	François Lionet, Constantin Sotiropoulos	STOS BASIC
1990	AMPL	Robert Fourer, David Gay, Brian Kernighanat (Bell Laboratories)	none
1990	Object Oberon	H Mössenböck, J Templ, R Griesemer	Oberon
1990	J	Kenneth E. Iverson, Roger Huiat (Iverson Software)	APL,FP
1990	Haskell	multiple	Miranda
1990	EuLisp	multiple	Common Lisp,Scheme
1990	Z Shell(zsh)	Paul Falstad (Princeton University)	ksh
1991	GNU E	David J. DeWitt, Michael J. Carey	C++
1991	Oberon-2	Hanspeter Mössenböck (Wirth)	Object Oberon
1991	Oz	Gert Smolka and his students	Prolog
1991	Q	Albert Gräf	none
1991	Visual Basic	Alan Cooper (sold to Microsoft)	QuickBASIC
1992	Borland Pascal	multiple	Turbo Pascal OOP
1992	Dylan	multiple (Apple Computer Inc.)	Common Lisp,Scheme
1992	S-Lang	John E. Davis	PostScript
1993	Self(implementation)	Sun Microsystems Inc.	Smalltalk
1993	Amiga E	Wouter van Oortmerssen	DEX,C,Modula-2
1993	Brainf*ck	Urban Müller	P′′
1993	LiveCode Transcript	multiple	HyperTalk
1993	AppleScript	Apple Computer Inc.	HyperTalk
1993	K	Arthur Whitney	APL,Lisp
1993	Lua	Roberto Ierusalimschy, et al. (Tecgraf, PUC-Rio)	Scheme,SNOBOL,Modula,CLU,C++
1993	R	Robert Gentleman, Ross Ihaka	S
1993	ZPL	Chamberlain, et al. (University of Washington)	C
1993	NewtonScript	Walter Smith	Self,Dylan
1993	Euphoria	Robert Craig	SNOBOL,AWK,ABC,Icon,Python
1994	Claire	Yves Caseau	Smalltalk,SETL,OPS5,Lisp,ML,C,LORE,LAURE
1994	ANSI Common Lisp	multiple	Common Lisp
1994	RAPID	ABB Group	ARLA
1994	Pike	Fredrik Hübinette, et al. (Linköping University)	LPC,C,µLPC
1994	ANS Forth	Elizabeth Rather, et al.	Forth
1995	Ada 95	S. Tucker Taft, et al. (Intermetrics, Inc.)	Ada 83
1995	Borland Delphi	Anders Hejlsbergat (Borland)	Borland Pascal
1995	ColdFusion (CFML)	Allaire	none
1995	Java	James Gosling (Sun Microsystems)	C,Simula 67,C++,Smalltalk,Ada 83,Objective-C,Mesa
1995	LiveScript	Brendan Eichat (Netscape)	Self,C,Scheme
1995	Mercury	Zoltan Somogyiat (University of Melbourne)	Prolog,Hope,Haskell
1995	PHP	Rasmus Lerdorf	Perl
1995	Ruby	Yukihiro Matsumoto	Smalltalk,Perl
1995	JavaScript	Brendan Eichat (Netscape)	LiveScript
1995	Racket	Matthew Flatt (Rice University)	Scheme,Lisp
1996	Curl	David Kranz, Steve Ward, Chris Terman (MIT)	Lisp,C++,Tcl/Tk,TeX,HTML
1996	Lasso	Blue World Communications Inc.	none
1996	Perl Data Language(PDL)	Karl Glazebrook, Jarle Brinchmann, Tuomas Lukka, Christian Soeller	APL,Perl
1996	VBScript	Microsoft	Visual Basic
1996	OCaml	INRIA	Caml Light,Standard ML
1996	NetRexx	Mike Cowlishaw	REXX
1997	Component Pascal	Oberon microsystems, Inc	Oberon-2
1997	E	Mark S. Miller	Joule,Original-E
1997	Pico	Free University of Brussels	Scheme
